1111    -5.0   +5.0
1112    -5.0   +5.0
1113    -5.0   +5.0
1115    -5.0   +5.0
1116    -5.0   +5.0
1117    -5.0   +5.0
1118    -5.0   +5.0
1119    -5.0   +5.0
1120    -5.0   +5.0
1123    -5.0   +5.0
1124    -5.0   +5.0
1125    -5.0   +5.0
1126    -5.0   +5.0
1127    -5.0   +5.0
1128    -5.0   +5.0
1129    -5.0   +5.0
1130    -5.0   +5.0
1131    -5.0   +5.0
1132    -5.0   +5.0
1133    -5.0   +5.0
1134    -5.0   +5.0
1135    -5.0   +5.0
1136    -5.0   +5.0
1137    -5.0   +5.0
1138    -5.0   +5.0
1139    -5.0   +5.0
1147    -5.0   +5.0
1148    -5.0   +5.0
1149    -5.0   +5.0
1150    -5.0   +5.0
1151    -5.0   +5.0
1152    -5.0   +5.0
1153    -5.0   +5.0
1154    -5.0   +5.0
1155    -5.0   +5.0
1156    -5.0   +5.0
1157    -5.0   +5.0
1158    -5.0   +5.0
1161    -5.0   +5.0
1162    -5.0   +5.0
1163    -5.0   +5.0
1164    -5.0   +5.0
1165    -5.0   +5.0
1166    -5.0   +5.0
1167    -5.0   +5.0
1168    -5.0   +5.0
1169    -5.0   +5.0
1170    -5.0   +5.0
1171    -5.0   +5.0
1172    -5.0   +5.0
1173    -5.0   +5.0
1174    -5.0   +5.0
1175    -5.0   +5.0
1176    -5.0   +5.0
1177    -5.0   +5.0
1178    -5.0   +5.0
1179    -5.0   +5.0
1180    -5.0   +5.0
1181    -5.0   +5.0
1182    -5.0   +5.0
1183    -5.0   +5.0
1184    -5.0   +5.0
1185    -5.0   +5.0
1186    -5.0   +5.0
1187    -5.0   +5.0
1188    -5.0   +5.0
1189    -5.0   +5.0
1190    -5.0   +5.0
1191    -5.0   +5.0
1192    -5.0   +5.0
1193    -5.0   +5.0
1194    -5.0   +5.0
1195    -5.0   +5.0
1196    -5.0   +5.0
1199    -5.0   +5.0
1205    -5.0   +5.0
1218    -5.0   +5.0
1220    -5.0   +5.0
1221    -5.0   +5.0
1223    -5.0   +5.0
1240    -5.0   +5.0
1241    -5.0   +5.0
1242    -5.0   +5.0
1243    -5.0   +5.0
1250    -5.0   +5.0
1252    -5.0   +5.0
1253    -5.0   +5.0
1254    -5.0   +5.0
1255    -5.0   +5.0
1256    -5.0   +5.0
1257    -5.0   +5.0
1258    -5.0   +5.0
1259    -5.0   +5.0
1260    -5.0   +5.0
